中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,9 ms,83 Mbps,10649 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,24 ms,734 Mbps,94003 kB/s
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,69 ms,339 Mbps,43417 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,69 ms,355 Mbps,45465 kB/s
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,71 ms,336 Mbps,43110 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,72 ms,284 Mbps,36454 kB/s
184.169.181.217,443,184.169.181.217,US,Seattle,中转,72 ms,312 Mbps,39936 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,281 Mbps,36044 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,97 ms,304 Mbps,38912 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,71 ms,242 Mbps,31027 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,92 ms,5 Mbps,752 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,86 ms,9 Mbps,1259 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,98 ms,12 Mbps,1554 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,165 ms,119 Mbps,15257 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,173 ms,30 Mbps,3861 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,177 ms,20 Mbps,2575 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,196 ms,30 Mbps,3934 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,215 ms,37 Mbps,4763 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,210 ms,38 Mbps,4897 kB/s
129.159.84.71,443,129.159.84.71,US,Newark,中转,110 ms,0 Mbps,109 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,235 ms,8 Mbps,1122 kB/s
152.70.89.238,443,2602:ffe4:407:21d9:0:9845:f2ac:7b83,SG,Singapore,隧道,280 ms,42 Mbps,5460 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,200 ms,18 Mbps,2408 kB/s
168.138.216.146,443,2602:ffe4:407:21d9:0:7023:874c:9f2e,SG,Singapore,隧道,530 ms,4 Mbps,533 kB/s
